Object ID,Track name,Description,Difficulty,Completion time,Has alerts,URL to thumbnail,URL to webpage,Date loaded to GIS,x,y
704122,Stanley River Route,This marked route links Charlies Saddle to Stanley Vale Hut in the St James Conservation Area. ,Expert,6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5e4f1f8294ac49fc964ab1f0df90b122.jpg,https://www.doc.govt.nz/link/fbe29fd35cb745f6b1ba6659ef793c3e.aspx,12/2/2025 8:33:53 AM,1570646.0955,5308140.50100101
704123,Purity Hut Track,A steep climb to this hut nestled above the bushline on the Hikurangi Range in the Ruahine Forest Park.,Advanced,3 - 4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f4ad81770c07423f8ade1bf26fa07119.jpg,https://www.doc.govt.nz/link/d4a0b07255d64324ab5673121c346627.aspx,12/2/2025 8:33:53 AM,1860054.1078085,5588381.27831245
704124,Ruahine Corner to Rangitane Road,An excellent but strenuous trip in the remote north western Ruahine Forest Park renowned for its scenery and ecological values. Fly in by helicopter and walk out.,Advanced,4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a94da1c40cc24349bf973b7bcf2260d0.jpg,https://www.doc.govt.nz/link/4d7cbbf90edc43c098b7e919cbc433ad.aspx,12/2/2025 8:33:52 AM,1865375.62680947,5601548.02931431
704125,Purity - Kelly Knight Hut Loop Track,A loop track that takes in the Pourangaki River valley and the open tops of the Hikurangi Range in the Ruahine Forest Park.,Advanced,2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7246d358db9f4ec6b589c7b3a4c9fb81.jpg,https://www.doc.govt.nz/link/40b9d75063b648adad493e84c24b0895.aspx,12/2/2025 8:33:52 AM,1859994.94290849,5585624.68441246
704126,Track to Dawson Falls,Walk to the lookout point or the base of Dawson Falls in Te Papa-Kura-o-Taranaki.,Easiest,10 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c89f01c827e14b47a9525df02dbf6a70.jpg,https://www.doc.govt.nz/link/7442bc69b8414f83a2e9339aa79dce2c.aspx,12/2/2025 8:33:52 AM,1695367.22900004,5646610.08820077
704127,Kelly Knight Hut Track,"The track to Kelly Knight Hut crosses farmland to the Ruahine Forest Park boundary, then sidles above the Pourangaki River to reach the hut via a swingbridge. Stay a night and return the same way.",Advanced,2 hr 30 min - 3 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/8abbf5a1765c47558cfec8a305c89d7a.jpg,https://www.doc.govt.nz/link/152d1a5eb58c42df91c85de90efec2c6.aspx,12/2/2025 8:33:52 AM,1860616.0081086,5585172.11371269
704128,Toaroha/Zit Saddle/Kokatahi/Lathrop Saddle/Styx River  Route ,This route traverses alpine ridges and crosses two alpine saddles. It demands experience and good route finding skills in other than fine weather conditions. ,"Advanced, Expert",3-4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c3d5cd14d66b46cbab9a745284f572f4.jpg,https://www.doc.govt.nz/link/dd6c54ccea42480caa12dfae20f323c1.aspx,12/2/2025 8:33:52 AM,1451477.33999954,5242674.03210122
704129,York Road Loop Track,Explore the remnants of the old Egmont Branch railway quarry complex while walking through native forest.,Easy,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/625b612697604551b7e26ffa9192164a.aspx,https://www.doc.govt.nz/link/cdf714f639d9473bbb5ef3aa28a8395a.aspx,12/2/2025 8:33:51 AM,1700791.92430006,5649951.80720078
704130,Maharahara Peak Track,Take a steep climb through forest to the rocky open knolls of Maharahara high point in the Ruahine Forest Park.,Advanced,4-6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/476dae049c144fccba401084078c0313.aspx,https://www.doc.govt.nz/link/3dec759d3fd341fdbfc3a346c767bfae.aspx,12/2/2025 8:33:51 AM,1847204.1928065,5549649.6643089
704131,Mikonui Catchment - Dickie Ridge/Upper Tuke River Route ,The Dickie Ridge/Tuke River Route provides a link to challenging alpine tramping opportunities and gives access to the Waitaha and Whitcombe catchments. ,"Advanced, Expert",2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/724ef612c472466fb6283b9bad03423b.jpg,https://www.doc.govt.nz/link/d9574d8a275141c9b0dd04d18a84b574.aspx,12/2/2025 8:33:51 AM,1426765.39889898,5232247.88740169
704132,West Egmont tramping tracks,"The western slopes of the mountain are known for their very high rainfall, resulting in numerous wet and boggy areas. ",Advanced,5 or 6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0bad36b654494c28a4e8d3d2d22b1369.aspx,https://www.doc.govt.nz/link/be37becb313c4bd4af6ee6b4591f90f8.aspx,12/2/2025 8:33:51 AM,1684934.85130002,5649234.10710077
704133,Coal Creek Track,Enjoy the lovely bush walk down to the impressive Coal Creek Falls. A nice place to cool off with a swim in the hot summer months.,Easy,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ffe5b4922b89453a96e938097854354a.aspx,https://www.doc.govt.nz/link/c471018eb4244a8f9f5b1bc3b4e60faa.aspx,12/2/2025 8:33:51 AM,1457013.66509963,5303372.99900114
704134,No.1 Line tracks,Enjoy the views of the Pohangina Valley from the end of No.1 Line or shorter Trig Loop Track.,Advanced,2 - 3 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/25297cb2aa9e49b7862533495eea8759.aspx,https://www.doc.govt.nz/link/16aff1e72ccc46e18db60f193ef80b7a.aspx,12/2/2025 8:33:51 AM,1844498.82150612,5547737.48810824
704135,Te Maire Loop Track,Walk through a fine example of the podocarp forest that once covered much of the central North Island. It's a suitable track for kids.,Easy,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c86dd4e5a439480695ad3d2330ea9b65.aspx,https://www.doc.govt.nz/link/d848b5e1dda0440588bb523dd3bf5ed2.aspx,12/2/2025 8:33:51 AM,1790031.84740152,5686313.14110159
704136,Copland Track to Welcome Flat Hut,"This popular tramp gives a glimpse of Westland’s spectacular forest, river and mountain scenery, with natural hot pools at Welcome Flat an added attraction.


",Intermediate,7 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b970c86a46ba4235835f9cc624a4cba0.aspx,https://www.doc.govt.nz/link/a790c4e8ca844ec4a132358e8ce9b4c5.aspx,12/2/2025 8:33:50 AM,1350966.98349311,5165983.08741409
704137,Mangamate Loop Track,The loop covers a range of track types including multiple river crossing. This makes it an ideal introduction to backcountry tramping.,"Intermediate, Advanced",3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b2d072a59f6f4f3d86ecf1ddb1ab7b36.aspx,https://www.doc.govt.nz/link/01e868ca31e149308f365937682b2ad6.aspx,12/2/2025 8:33:50 AM,1920665.71632623,5704957.24385643
704138,Whirinaki Recreation Camp tracks,"Walk through native forest, along the Whirinaki River or uphill to great views, on these short walks from the Whirinaki Recreation Camp.",Easy,30 min | 1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d142c1ebb52d4b9b826c98c2c12aafb4.aspx,https://www.doc.govt.nz/link/1753af9681104200a797e49c46f73034.aspx,12/2/2025 8:33:50 AM,1925150.03422825,5719348.15246214
704139,The Grove Scenic Reserve Walk,"Walk through limestone blocks draped with tentacle-like roots of northern rātā, to a viewpoint over the surrounding area.",Easiest,40 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4b17fc7bc4cf45aa94772aaa488b9284.aspx,https://www.doc.govt.nz/link/cd58f7562b77480387a1f86e2a5c1423.aspx,12/2/2025 8:33:50 AM,1589055.3477,5478035.39250091
704140,Wharfedale/Townshend Track,"Follow this track to Wharfedale Hut by walking, mountain biking, or horse riding.",Intermediate,1–2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1431588cbd83477fb85202c7b3383981.jpg,https://www.doc.govt.nz/link/5266695c04254d5e90043f5d16c8ba8a.aspx,12/2/2025 8:33:50 AM,1521835.93609998,5214543.40110105
704141,Pouākai Crossing,"Wind across the lower slopes of Taranaki Maunga – discover towering cliffs, a mighty waterfall, a sphagnum moss swamp and stunning views on this day walk version of the popular 2–3 day Pouākai Circuit.",Advanced,7 hr 30 min - 9 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/70d10f30c85a4c85a781f7f278f9ea70.aspx,https://www.doc.govt.nz/link/c334c867ea6f470db0ec452628c30012.aspx,12/2/2025 8:33:50 AM,1689667.42750003,5655147.92680077
704142,Bridle Track,"This well-graded track follows a section of the old Bridle Track, the first link between Otago and Westland.",Easy,1 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/940507324b464d4fa0899c87b55dd691.jpg,https://www.doc.govt.nz/link/28f06b0ef53841d99f7858026da0d76b.aspx,12/2/2025 8:33:49 AM,1307538.36628457,5108403.62135192
704143,Historic Waihohonu Hut Track,"Walk to the historic Waihohonu Hut, built in 1903/04 and used as a stopover for stage coaches.",Advanced,1 hr 40 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5f18eb46f000408bb14f41290869068c.aspx,https://www.doc.govt.nz/link/454a0f42469548dbac033fb961c9b9d7.aspx,12/2/2025 8:33:49 AM,1833549.22420467,5655025.03250537
704144,Goldsborough (Shamrock) Track,"Walk through an historic gold mining area with mining tunnels, dams, sluice faces, tailings and water-races.",Advanced,4 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/11db59759f924fceb0995b1e52ed7458.aspx,https://www.doc.govt.nz/link/c142d4e929ca45e9830013cae8aab2d8.aspx,12/2/2025 8:33:49 AM,1448398.9267995,5273209.34020124
704145,Silica Rapids Walk,Experience a range of vegetation types as well as the creamy-white Silica Rapid terraces.,Easy,2  hr 30  min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/65888ce36b2a4b0ebba610a1d0ac2db4.aspx,https://www.doc.govt.nz/link/bc50e273b6a34b058d36d13005d7d135.aspx,12/2/2025 8:33:49 AM,1818410.80760325,5656633.03440345
704146,Fenian Caves Track,"Explore the Fenian Caves, with the option to visit the Fenian Workings.","Easy, Advanced",3 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/794e50b535934962b54c2e927023a15a.aspx,https://www.doc.govt.nz/link/ff196db6ceac46d1b107d8dc5feab9a7.aspx,12/2/2025 8:33:49 AM,1530540.74119999,5438426.44790093
704147,Te Pua-a-Tāne Circuit,The Te Pua-a-Tāne Circuit is the ultimate Whirinaki challenge for the more adventurous.,Advanced,5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1b95a39a09604362b3d6326892a9a38a.aspx,https://www.doc.govt.nz/link/48d6ce80a64b4e50818a8fa0dd9afee8.aspx,12/2/2025 8:33:49 AM,1923628.64262759,5704625.93096072
704148,Ōparara Basin: Moria Gate and Mirror Tarn Loop,Enjoy a beautiful limestone arch and spectacular rainforest reflections on a short walk that kids will love.,Easiest,1 hr 30 min loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3452a1066a684c1b8b8d358a32389ea2.aspx,https://www.doc.govt.nz/link/5bced9f78fe9467e810e427a08712700.aspx,12/2/2025 8:33:49 AM,1532620.99739999,5444279.24750093
704149,Soda Springs Walk,Walk to cold water springs that create a small oasis of flowers in summer.,Easy,2 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c3655f77f24c493c8eb02132fe28d8b0.aspx,https://www.doc.govt.nz/link/0fa3b133dbd249f68ef63ce489c51671.aspx,12/2/2025 8:33:48 AM,1824663.31120377,5664008.6552041
704150,Cave Creek Memorial Track/Kotihotiho,"Walk down to the deep, narrow chasm of Cave Creek and be surrounded by moss-covered rocks and overhanging trees.",Easy,1 hr 10 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3fd23430fb0d4ea0bfb940f34aa5dada.aspx,https://www.doc.govt.nz/link/5d572e52e1224ef38a6b4c51bb8c0d84.aspx,12/2/2025 8:33:48 AM,1467969.68419976,5337369.17910106
704151,Six Mile Walk,Explore what remains of the old Six Mile hydro power station.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/41afa6941f784b9fbcbad4fb0ef72481.aspx,https://www.doc.govt.nz/link/e669b316dae54a2696d8f6a9359fb521.aspx,12/2/2025 8:33:48 AM,1544562.9971,5363006.95060098
704152,Maruia Falls Track,Walk to a waterfall created following the 1929 Murchison earthquake. It's not safe to swim here.,Easiest,10 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/dd2a3ba6cde84f349c6e7dfdccc081fd.aspx,https://www.doc.govt.nz/link/cfe082f7d0e742ec8213b6a7f4deb972.aspx,12/2/2025 8:33:48 AM,1537993.4937,5365620.66950098
704153,Old Māori Trail,The Old Māori Trail is also know as the Rosie Bay - Lake Kaitawa Track and follows what was once a Māori trail to the lake.,Advanced,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6e04ab644b6a4afd87ee60ad3c4a951d.jpg,https://www.doc.govt.nz/link/e2eaa522b96648dea56acb1764c6380a.aspx,12/2/2025 8:33:48 AM,1960613.54874975,5698588.65954436
704154,Ōparara Arch,"Explore 35-million-year-old limestone arch and ancient native forests. This is a true lost world experience that is easy, fascinating, and great for kids.",Easy,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5bf94036f1354a32b4b599d901fef165.aspx,https://www.doc.govt.nz/link/7eeccbc381a844e7881a0cd840c09c07.aspx,12/2/2025 8:33:48 AM,1531961.74359999,5444562.36450093
704155,Waitomo Walkway,The Waitomo Walkway traverses a classic limestone landscape and meanders beside the Waitomo Stream through forest and open farmland. This track is part of Te Araroa Trail.,Easy,1 hr 15 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b6ef2e4282bb4aa9921902d43f1ea9ac.jpg,https://www.doc.govt.nz/link/94ba825a30c0413fabb1cf0283889d5b.aspx,12/2/2025 8:33:48 AM,1784042.53210125,5763179.05140128
704156,Mount Iron Track,This very popular loop walk offers excellent 360-degree views from the summit.,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/86db5d42fbc540efa76612a8f4ebf967.jpg,https://www.doc.govt.nz/link/e60512753131427ebb45fc69297b7470.aspx,12/2/2025 8:33:47 AM,1295862.29518189,5044076.73257653
704157,Te Tapui Loop Track,"A loop track follows through the bush and up to the summit, with a lookout tower and great views across to the Kaimai Ranges and Firth of Thames.",Advanced,3 - 4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/608409039c104020bc033efa2cd0a860.aspx,12/2/2025 8:33:47 AM,1830757.43680419,5811583.29760424
704158,Tongariro River Trail,"Follow the banks of the Tongariro River alongside farmland, through native bush and urban areas, enjoying magnificent river views. An easy, mainly flat track with multiple entry points - a great family friendly option.",Easy,2 - 3 hours,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/11b1e74bf56f4fa4bc833c007a7c5a2d.aspx,https://www.doc.govt.nz/link/f7a6048f329e4d9bafde4d68a5e6aba5.aspx,12/2/2025 8:33:47 AM,1843676.09290585,5679117.22430707
704159,Waiomu Kauri Grove Walk,"A 2-hour return walk allows you to visit one of the Coromandel Peninsula’s finest remaining kauri stands, Waiomu Kauri Grove. ",Easy,2 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0d7a53d8b3cd41c9aed7d133957946a4.aspx,https://www.doc.govt.nz/link/fc697cab5fe140c89385a7cc33469645.aspx,12/2/2025 8:33:47 AM,1825924.40530362,5899215.87030336
704160,Matiu/Somes Island Loop Track,"A loop track around Matiu/Somes Island offers 360 degree views of Wellington harbour - with native wildlife, remnants from the world wars, historic quarantine buildings, and a lighthouse, there is plenty to keep kids interested.",Easy,40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3a99ffc1c6a642f6a0e4b649737982ca.jpg,https://www.doc.govt.nz/link/bc42b0c1471b4a4e844e316e44652491.aspx,12/2/2025 8:33:47 AM,1756206.77140057,5430819.20640116
704161,Okupata Caves,A natural network of limestone caves carved by the Okupata stream eroding the rock formations. The caves house delicate habitats of NZ cave weta and glow worms and these ecosystems can be impacted by visitation.,Expert,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/fe7e693f280d421ab5b8229987a54f81.jpg,https://www.doc.govt.nz/link/c2cd35491e9941ffb375759c2494a4d5.aspx,12/2/2025 8:33:47 AM,1818149.33330321,5675558.57560336
704162,Meeting of the Waters Scenic Reserve walks,Enjoy a picnic and take one of the short walks in this family friendly reserve.,Easiest,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9f357478bea7443f8eeada1477cb24e8.aspx,https://www.doc.govt.nz/link/60ccd5008ee4425e844d654ac5700e7f.aspx,12/2/2025 8:33:46 AM,1696368.62940005,5671353.85980075
704163,Mākara Walkway,"This loop walk climbs to vantage points with spectacular views – farmland, a beach and gun emplacements will keep kids interested.",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/fd098f6860984b6e87004b30b7e40d49.aspx,https://www.doc.govt.nz/link/093f61925ebc4511bfe68b9f87c1eca6.aspx,12/2/2025 8:33:46 AM,1742673.05860036,5435543.05950105
704164,Papa Aroha Walk,Walk through coastal forest to an attractive beach.,Easiest,40 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ec75361cab5c41bea04d7345f935b2f7.jpg,https://www.doc.govt.nz/link/920e243f41414b27a5e75a8abfcb9229.aspx,12/2/2025 8:33:46 AM,1817201.20960288,5935756.0781025
704165,Karakariki Track,"With suspension bridges, a stream, a waterfall and a nice spot for a picnic, this track has plenty to keep kids entertained.",Advanced,20 and 45 mins one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/51ce1bd1ab49463db1fc82b5c6b09c50.jpg,https://www.doc.govt.nz/link/9db87518fc924d2082156e11be7d5778.aspx,12/2/2025 8:33:46 AM,1783250.8617012,5817360.09580118
704166,Mangaone Walkway,Mangaone Walkway follows an old bush tramway in low hill country east of Waikanae. It was historically known as Reikorangi Track.,Easy,3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f173ce13214e4d078478ac5a26ebbe8a.aspx,https://www.doc.govt.nz/link/624c502fb88741068b4fcb16e17894ae.aspx,12/2/2025 8:33:46 AM,1781647.33170126,5474709.51700164
704167,Lighthouse Walk,Explore Castlepoint Scenic Reserve by following the boardwalk over the reef and past the lighthouse. ,Easiest,30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ed2feb2f6ddb42f6849e48ef43e9747a.aspx,https://www.doc.govt.nz/link/019228ac56674d5fa7bda7156381db6e.aspx,12/2/2025 8:33:46 AM,1872181.75191104,5467230.86221988
704168,Marokopa Falls Walk,Walk to the beautiful 35 m high Marokopa Falls.,Easiest,20 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b84d6fc68d3a4fa7b60e876cda742bd1.jpg,https://www.doc.govt.nz/link/aeef8ed279dd401aa15fd18b660eda3e.aspx,12/2/2025 8:33:46 AM,1761801.15050063,5763638.98380088
704169,Moki Track,"The track was developed with wheelbarrows, picks and shovels as early as 1910. Both ends of the track pass through some 3 km of farmland before entering the forest, which contains good stands of tawa, kamahi and rimu.",Advanced,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/466da616e0f74a6789a28b99dfcc1005.jpg,https://www.doc.govt.nz/link/85f5bfc149e84bc9a9ad2babd3719a8a.aspx,12/2/2025 8:33:45 AM,1745714.58490037,5684565.01710084
704170,Kerikeri River Track,"Follow the bank of the Kerikeri River through regenerating forest and discover the remains of an historic power house, and Wharepoke and Rainbow Falls. This track is part of Te Araroa Trail.",Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/114406fb5c394a03be952f3912eb1b61.jpg,https://www.doc.govt.nz/link/9a33d1f63cd94ef5a6b0a0db46dcda0f.aspx,12/2/2025 8:33:45 AM,1686665.97780002,6102491.5186003
704171,Mangorewa Track,"This track passes through a fine example of lowland forest, one of the few areas left unlogged on the Mamaku Plateau.",Expert,5 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/219563640c3140a1acc733420aea25be.aspx,12/2/2025 8:33:45 AM,1878117.58211176,5792389.62371707
704172,Mautohe Cathedral Cove Track,This popular and busy walk has spectacular views across the pristine waters of the Te Whanganui-o-Hei Marine Reserve and ends at the iconic beach archway.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f6c9e592798b4edc952ab5b156c796ce.aspx,https://www.doc.govt.nz/link/6ab975ca78f041b3bdc436db75aeace8.aspx,12/2/2025 8:33:45 AM,1849209.72730616,5920029.73210662
704173,Karangahake Gorge Historic Walkway,"Situated at the base of the Coromandel Range, the Karangahake Gorge Historic Walkway follows the old railway line between Paeroa and Waihi, giving access to impressive remains from the mining and railway eras.",Easy,45 min or 4 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a7692563df644c27b7db1bd4d52a6c44.jpg,https://www.doc.govt.nz/link/6404b2da68834b0c920c0b1296855bc2.aspx,12/2/2025 8:33:45 AM,1841934.91810535,5854927.61360567
704174,Stanfield Hut to Cattle Creek Hut Track,"A varied walk between two huts through a mixture of river, bush and ridgeline.",Advanced,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/cc862ded46af4804ad410fddf6350be8.aspx,https://www.doc.govt.nz/link/d78dc97169a146bb8fd44b0fc7228bd0.aspx,12/2/2025 8:33:45 AM,1860587.39790863,5558777.68031301
704175,Mount Robertson tracks,"Mountain bike or walk through mature and regenerating forest, with the option to visit the Mt Robertson/Tokomaru summit.",Advanced,8-12 hrs return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/089c4f0c51194e1687ed2645eb43c8fe.aspx,https://www.doc.govt.nz/link/bf82d00630864532a3288880bad628d0.aspx,12/2/2025 8:33:44 AM,1686781.31000003,5419957.20700095
704176,Sawyers and Parsons Creek to Freehold Creek Track,Climb up past mountain beech and native mistletoes to an ancient glacial moraine terrace in the Lake Ōhau area. This track is part of Te Araroa Trail.,"Advanced, Expert",8 hrs one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f396efa21ff64d6ab40ccce39327d8f1.aspx,https://www.doc.govt.nz/link/7afdb1c4b3b6427dbd077b07ea90db22.aspx,12/2/2025 8:33:44 AM,1345917.44849242,5094663.18041777
704177,Obelisk Loop Track,"This loop starts from the highest point on the range at Kopuwai. On a good day, you can see as far out as Rakiura/Stewart Island, Aoraki/Mt Cook, and Mt Aspiring/Tititea.",Advanced,3 hr 30 min loop,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a95fc154b23e402c84c828aa7922ad27.aspx,https://www.doc.govt.nz/link/7e3878d5a71f4d4a93692ee12950c347.aspx,12/2/2025 8:33:44 AM,1302794.11328435,4974920.30536958
704178,Potaema Track,A boardwalk track suitable for wheelchairs and prams that takes you through native forest.,Easiest,30 min ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/bd3a213d137f48f79084c1d8e94fc1a3.aspx,https://www.doc.govt.nz/link/b00bcd4d080f4134a0e98c0ea39f3303.aspx,12/2/2025 8:33:44 AM,1699149.22570006,5647523.00670078
704179,Elizabeth Hut Route,"A backcountry route that follows the Haupiri River to Elizabeth Hut, with further travel possible over the Trent Saddle.",Expert,6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/29531be9c11e44af848dbf3355aefd69.aspx,12/2/2025 8:33:44 AM,1503657.84979995,5271688.35150103
704180,Angelus Hut via Speargrass Track and Speargrass Creek Route,"This route is often used to exit Rotomaninitua/Lake Angelus in bad weather. There are unbridged stream crossings, and muddy sections.","Advanced, Expert",6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7b3c3075713047229d42aae2d71064e5.aspx,https://www.doc.govt.nz/link/6e9079d6ce6a4f139e3d86d37e424634.aspx,12/2/2025 8:33:44 AM,1581079.7956,5367339.20040098
704181,Tarawaere Track,This track can be completed as a short loop or connected with Billygoat Walk to create a longer loop.,Advanced,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/6e8692f4d89643ab8e21313cf6dd9d59.aspx,12/2/2025 8:33:44 AM,1837369.40370475,5893465.81550477
704182,Hacket Track,"A day walk up the Hacket Creek valley to Hacket Hut. This track has been badly damaged – there are many slips, take great care.",Advanced,4 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a94c5828bac7441aa8ba864cc6888036.aspx,https://www.doc.govt.nz/link/73c7b8a8178b47b78f687c73e9b4736c.aspx,12/2/2025 8:33:43 AM,1619095.3755,5416731.53720095
704183,Roxburgh Faces Tramping Track,This track connects Flat Top Hill to the Roxburgh Gorge Trail. It is also called Haul Road East.,Advanced,1 hr 30 min - 2 hr from Flat Top Hill Tramping Tra,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/6d7338f1a3db42148857157f8a1f4851.aspx,12/2/2025 8:33:43 AM,1313806.04468685,4975605.28005161
704184,Careys Creek Track,This track offers a challenging walk. There are plenty of opportunities for birdwatching and the chance to discover an area of Ōtepoti/Dunedin.,Advanced,4 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/8a713fa578964d3e88c73793a3568a0b.aspx,12/2/2025 8:33:43 AM,1407861.41089823,4933535.37610324
704185,Flat Top Hill Tramping Track,"This loop track is an extension of the Basin View Tramping Track. It has a 300 m climb 
with extensive views.",Advanced,2 – 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f616029f9b5d4bb3b328cff488414e11.aspx,https://www.doc.govt.nz/link/e9a6e6d1872149b29492f8d5b2ae57b1.aspx,12/2/2025 8:33:43 AM,1312812.99658663,4975712.30105303
704186,Hikuwai Link Track,"A popular, gently-graded link track that connects Gunn Road with the Outlet Track.",Easiest,20 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/edc7868dccd54d4e8252c772ee0c4d3c.aspx,12/2/2025 8:33:43 AM,1297091.89788221,5046219.28807392
704187,Tarawaere to Billygoat Link Track,This link track can be joined with either Billygoat Walk or Tarawaere Track to form either a short or long loop experience.,Advanced,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/9e042d3a47a847b0ab9803d94bebfa9f.aspx,12/2/2025 8:33:42 AM,1838098.60990484,5893491.28270487
